W,89,60,29,58,.500,11,27,.407,20,23,.870,8,31,14,16,6,15,19,21,54,.389,8,23,.348,10,19,.526,14,34,12,8,2,24,22
W,88,49,30,53,.566,14,20,.700,14,21,.667,7,30,17,17,2,14,21,14,43,.326,6,23,.261,15,22,.682,7,24,9,7,3,23,14
W,70,62,25,69,.362,6,23,.261,14,19,.737,9,31,10,8,2,12,25,18,58,.310,2,19,.105,24,35,.686,15,45,10,2,10,17,20
W,74,60,27,61,.443,8,19,.421,12,16,.750,13,30,18,12,4,11,18,19,50,.380,8,18,.444,14,17,.824,10,31,17,3,7,20,12
L,71,74,26,57,.456,12,21,.571,7,10,.700,12,24,16,7,0,12,19,24,48,.500,9,19,.474,17,21,.810,14,31,16,5,5,18,15
W,70,67,26,45,.578,5,14,.357,13,25,.520,3,22,18,7,7,14,25,20,54,.370,4,13,.308,23,33,.697,19,39,13,5,3,18,23
L,65,75,27,50,.540,7,20,.350,4,6,.667,5,23,14,8,2,22,18,28,60,.467,4,19,.211,15,22,.682,16,34,11,14,2,15,9
W,100,66,30,62,.484,15,35,.429,25,40,.625,16,44,18,5,7,7,24,22,56,.393,5,16,.313,17,32,.531,11,31,9,7,2,16,29
W,64,49,27,54,.500,4,16,.250,6,9,.667,10,37,12,5,7,14,13,18,63,.286,3,16,.188,10,14,.714,18,33,8,6,5,11,15
L,60,89,22,64,.344,8,38,.211,8,10,.800,4,29,15,7,2,17,15,33,65,.508,10,21,.476,13,16,.813,7,39,25,10,7,11,14
W,76,49,29,52,.558,7,15,.467,11,11,1.000,4,42,16,5,6,12,15,17,63,.270,3,21,.143,12,18,.667,10,26,8,6,5,7,12
W,64,48,25,59,.424,6,23,.261,8,10,.800,10,36,13,9,0,15,13,18,52,.346,4,20,.200,8,8,1.000,7,29,8,10,3,16,14
L,63,66,25,67,.373,7,26,.269,6,10,.600,13,38,10,7,1,8,21,21,49,.429,9,19,.474,15,27,.556,9,38,12,5,5,13,13
W,73,62,26,50,.520,4,10,.400,17,17,1.000,10,31,16,11,2,16,21,24,51,.471,4,14,.286,10,15,.667,8,20,13,10,4,15,13
W,83,52,32,57,.561,13,25,.520,6,8,.750,7,33,24,12,1,19,18,17,51,.333,5,23,.217,13,20,.650,9,26,10,9,1,19,15
W,107,72,40,65,.615,11,23,.478,16,27,.593,10,34,19,9,0,9,15,28,63,.444,7,26,.269,9,14,.643,10,32,14,7,3,20,23
W,90,53,32,61,.525,11,27,.407,15,20,.750,7,30,20,16,7,9,16,16,54,.296,3,14,.214,18,20,.900,13,35,5,3,3,25,19
W,83,76,28,54,.519,8,20,.400,19,24,.792,11,34,15,11,0,21,13,26,54,.481,12,36,.333,12,14,.857,4,17,13,13,4,15,24
W,78,66,27,62,.435,11,25,.440,13,19,.684,9,29,17,12,2,6,16,26,59,.441,9,23,.391,5,8,.625,11,39,16,2,9,16,17
W,64,63,23,46,.500,7,21,.333,11,21,.524,3,20,16,10,1,18,16,21,48,.438,7,19,.368,14,19,.737,9,33,11,7,2,19,22
W,85,74,31,46,.674,11,15,.733,12,16,.750,4,18,20,10,1,14,21,22,44,.500,11,21,.524,19,25,.760,7,21,13,6,3,17,19
W,93,74,26,49,.531,6,16,.375,35,43,.814,6,26,16,17,6,13,22,23,50,.460,9,17,.529,19,31,.613,8,30,16,6,1,23,31
W,74,52,24,50,.480,11,21,.524,15,22,.682,5,25,16,11,4,11,16,18,47,.383,6,16,.375,10,11,.909,7,30,11,4,4,19,20
L,74,79,28,54,.519,9,21,.429,9,13,.692,9,25,13,5,1,12,21,24,54,.444,10,27,.370,21,27,.778,11,28,15,8,4,8,12
W,78,65,28,60,.467,14,34,.412,8,8,1.000,7,31,17,12,2,12,18,23,50,.460,5,14,.357,14,21,.667,8,28,13,6,5,16,9
L,69,80,29,65,.446,5,26,.192,6,10,.600,10,27,13,11,0,16,22,27,51,.529,5,15,.333,21,24,.875,8,35,12,8,6,18,16
W,80,49,29,55,.527,10,23,.435,12,13,.923,8,28,24,11,1,10,18,15,47,.319,1,12,.083,18,22,.818,13,30,4,5,4,18,12
W,81,62,27,52,.519,8,22,.364,19,25,.760,9,34,15,6,1,12,17,23,58,.397,6,25,.240,10,13,.769,9,26,11,6,2,14,21
W,73,43,27,53,.509,8,22,.364,11,17,.647,9,36,14,7,4,16,19,15,45,.333,6,16,.375,7,16,.438,6,24,7,3,1,17,19
W,78,71,26,46,.565,3,11,.273,23,24,.958,6,23,13,8,4,11,20,22,50,.440,8,18,.444,19,26,.731,13,26,6,7,3,12,21
W,82,73,27,60,.450,7,24,.292,21,30,.700,13,30,15,13,3,10,12,29,61,.475,10,26,.385,5,6,.833,13,33,17,6,7,21,25
WÂ (1 OT),70,68,28,57,.491,4,19,.211,10,14,.714,4,20,15,10,2,14,17,24,45,.533,10,24,.417,10,15,.667,5,30,18,7,2,25,17
