L,59,87,19,54,.352,7,24,.292,14,20,.700,7,27,10,6,5,21,25,32,67,.478,6,18,.333,17,29,.586,16,42,12,6,7,13,21
L,55,73,17,64,.266,8,20,.400,13,16,.813,8,36,8,2,2,13,15,30,67,.448,4,16,.250,9,14,.643,10,48,14,5,3,11,17
L,56,80,22,63,.349,7,27,.259,5,12,.417,5,24,9,4,2,11,18,31,54,.574,4,15,.267,14,23,.609,7,43,19,3,5,16,17
WÂ (1 OT),78,76,31,70,.443,5,17,.294,11,14,.786,9,29,8,7,5,8,18,30,61,.492,2,9,.222,14,24,.583,12,42,14,4,6,16,20
L,63,73,22,54,.407,12,27,.444,7,12,.583,4,16,10,10,4,11,16,28,59,.475,7,20,.350,10,12,.833,13,42,16,6,7,17,19
L,71,80,25,52,.481,9,23,.391,12,19,.632,7,28,8,8,2,22,18,31,58,.534,6,19,.316,12,18,.667,7,30,18,10,4,20,21
L,47,64,18,48,.375,6,14,.429,5,5,1.000,3,23,8,4,4,11,12,24,55,.436,11,27,.407,5,6,.833,8,33,14,4,2,12,8
L,76,89,27,61,.443,10,29,.345,12,16,.750,5,26,15,3,2,11,21,32,67,.478,8,19,.421,17,25,.680,13,39,20,8,1,7,17
L,57,64,22,55,.400,4,13,.308,9,15,.600,7,26,10,4,8,14,24,19,51,.373,3,12,.250,23,27,.852,12,36,8,5,3,17,17
L,70,78,26,60,.433,6,21,.286,12,21,.571,6,31,10,2,6,10,24,25,53,.472,6,12,.500,22,30,.733,4,33,11,5,2,9,21
L,71,90,26,63,.413,9,29,.310,10,14,.714,5,20,15,9,3,11,24,28,55,.509,10,22,.455,24,27,.889,9,39,15,5,5,17,19
L,65,81,18,55,.327,8,22,.364,21,25,.840,5,24,6,10,3,17,23,29,54,.537,7,15,.467,16,26,.615,8,35,17,9,9,16,18
W,87,49,32,47,.681,16,25,.640,7,12,.583,2,28,24,3,6,16,22,19,58,.328,2,15,.133,9,20,.450,18,34,8,9,0,16,17
W,67,65,21,48,.438,8,19,.421,17,21,.810,5,22,11,6,3,14,17,25,61,.410,3,11,.273,12,19,.632,21,41,7,7,2,13,17
W,57,56,18,52,.346,4,18,.222,17,28,.607,12,33,9,5,2,7,17,23,53,.434,3,10,.300,7,15,.467,11,35,3,3,1,13,25
L,71,72,27,58,.466,4,11,.364,13,21,.619,8,28,12,4,4,4,19,26,58,.448,4,14,.286,16,21,.762,8,33,15,2,2,10,18
W,77,68,27,53,.509,6,16,.375,17,26,.654,10,32,12,3,5,11,19,26,54,.481,1,8,.125,15,21,.714,8,29,11,5,1,9,22
W,77,70,28,49,.571,8,19,.421,13,18,.722,3,24,22,10,1,16,21,24,54,.444,5,16,.313,17,21,.810,9,27,6,6,0,20,22
W,78,72,30,67,.448,5,19,.263,13,17,.765,10,34,9,9,10,8,11,29,70,.414,9,22,.409,5,6,.833,14,39,13,4,4,13,17
W,86,75,29,49,.592,13,21,.619,15,18,.833,7,31,17,11,2,23,15,30,63,.476,5,20,.250,10,14,.714,9,22,15,13,2,16,19
W,55,47,21,48,.438,6,17,.353,7,14,.500,10,37,5,5,6,16,10,19,61,.311,5,19,.263,4,8,.500,12,31,4,8,0,10,16
W,48,47,16,42,.381,4,18,.222,12,22,.545,3,21,9,8,7,16,17,16,51,.314,7,15,.467,8,19,.421,14,43,6,8,1,24,22
W,67,53,23,50,.460,4,19,.211,17,21,.810,6,32,13,7,5,13,18,20,52,.385,8,20,.400,5,10,.500,7,28,8,6,2,16,20
W,77,70,31,52,.596,7,16,.438,8,11,.727,5,23,9,6,6,10,13,27,57,.474,9,18,.500,7,11,.636,12,30,14,7,2,12,17
L,52,54,20,57,.351,6,27,.222,6,9,.667,8,33,11,9,10,14,20,18,52,.346,6,15,.400,12,22,.545,10,37,8,6,1,14,12
W,74,70,23,48,.479,9,20,.450,19,28,.679,4,23,8,5,3,14,19,28,58,.483,3,13,.231,11,20,.550,11,34,6,11,1,14,20
W,81,62,33,64,.516,14,31,.452,1,5,.200,11,29,17,11,0,10,12,26,46,.565,5,11,.455,5,7,.714,2,21,13,6,4,21,13
L,65,69,24,58,.414,4,16,.250,13,18,.722,10,31,11,2,3,10,16,25,56,.446,7,15,.467,12,14,.857,9,34,12,5,6,8,21
W,79,74,26,51,.510,5,16,.313,22,32,.688,6,25,12,7,4,10,17,25,50,.500,5,10,.500,19,24,.792,7,28,9,7,0,16,22
L,58,62,23,52,.442,7,18,.389,5,14,.357,6,28,11,7,4,8,19,20,51,.392,4,11,.364,18,22,.818,11,35,9,5,1,14,17
W,77,62,28,60,.467,5,19,.263,16,26,.615,5,30,14,9,1,10,21,21,51,.412,4,20,.200,16,27,.593,7,34,8,5,1,18,22
W,76,73,27,55,.491,11,23,.478,11,18,.611,5,27,12,5,2,17,17,29,55,.527,3,14,.214,12,20,.600,8,32,12,8,3,16,21
W,75,66,27,52,.519,4,14,.286,17,25,.680,8,33,8,3,4,17,19,24,55,.436,5,12,.417,13,22,.591,9,28,8,9,3,15,25
